TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,606,Dayside_Nadir,2018 MAY 13 21:27:27, 
1,1,1029,1029,607,Dayside_Nadir,2018 MAY 13 23:15:37,OBSERVATION_COMMENT
-1,-1,-1,-1,608,Dayside_Nadir,2018 MAY 14 01:23:53, 
-1,-1,-1,-1,609,Dayside_Nadir,2018 MAY 14 01:23:53, 
-1,-1,-1,-1,610,Dayside_Nadir,2018 MAY 14 01:23:53, 
1,1,1090,1090,611,Dayside_Nadir,2018 MAY 14 03:12:09,OBSERVATION_COMMENT
-1,-1,-1,-1,612,Dayside_Nadir,2018 MAY 14 05:20:25, 
-1,-1,-1,-1,613,Dayside_Nadir,2018 MAY 14 05:20:25, 
-1,-1,-1,-1,614,Dayside_Nadir,2018 MAY 14 05:20:25, 
1,1,1779,1779,615,Dayside_Nadir,2018 MAY 14 07:08:37,OBSERVATION_COMMENT
-1,-1,-1,-1,616,Dayside_Nadir,2018 MAY 14 09:16:45, 
-1,-1,-1,-1,617,Dayside_Nadir,2018 MAY 14 09:16:45, 
-1,-1,-1,-1,618,Dayside_Nadir,2018 MAY 14 09:16:45, 
1,1,2318,2318,619,Dayside_Nadir,2018 MAY 14 11:04:55,OBSERVATION_COMMENT
-1,-1,-1,-1,620,Dayside_Nadir,2018 MAY 14 13:13:09, 
-1,-1,-1,-1,621,Dayside_Nadir,2018 MAY 14 13:13:09, 
-1,-1,-1,-1,622,Dayside_Nadir,2018 MAY 14 13:13:09, 
1,1,1860,1860,623,Dayside_Nadir,2018 MAY 14 15:01:25,OBSERVATION_COMMENT
-1,-1,-1,-1,624,Dayside_Nadir,2018 MAY 14 17:09:41, 
-1,-1,-1,-1,625,Dayside_Nadir,2018 MAY 14 17:09:41, 
-1,-1,-1,-1,626,Dayside_Nadir,2018 MAY 14 17:09:41, 
1,1,2364,2364,627,Dayside_Nadir,2018 MAY 14 18:57:53,OBSERVATION_COMMENT
-1,-1,-1,-1,628,Dayside_Nadir,2018 MAY 14 21:06:03, 
-1,-1,-1,-1,629,Dayside_Nadir,2018 MAY 14 21:06:03, 
-1,-1,-1,-1,630,Dayside_Nadir,2018 MAY 14 21:06:03, 
1,1,144,144,631,Dayside_Nadir,2018 MAY 14 22:54:11,OBSERVATION_COMMENT
-1,-1,-1,-1,632,Dayside_Nadir,2018 MAY 15 01:02:23, 
-1,-1,-1,-1,633,Dayside_Nadir,2018 MAY 15 01:02:23, 
-1,-1,-1,-1,634,Dayside_Nadir,2018 MAY 15 01:02:23, 
1,1,124,124,635,Dayside_Nadir,2018 MAY 15 02:50:39,OBSERVATION_COMMENT
-1,-1,-1,-1,636,Dayside_Nadir,2018 MAY 15 04:58:53, 
-1,-1,-1,-1,637,Dayside_Nadir,2018 MAY 15 04:58:53, 
