Obs Type Index,Obs Type,TC Start Time,TC20 PRECOOLING,TC20 FIXED,TC20 SCI1,TC20 SCI2,
190,Dayside_Nadir,2018 APR 09 01:05:57,0,0,0,0,
191,Dayside_Nadir,2018 APR 09 02:54:29,1,1,140,140,
192,Dayside_Nadir,2018 APR 09 05:02:59,0,0,0,0,
193,Dayside_Nadir,2018 APR 09 06:51:27,1,1,104,104,
194,Dayside_Nadir,2018 APR 09 08:59:51,0,0,0,0,
195,Dayside_Nadir,2018 APR 09 10:48:19,1,1,1033,1033,
196,Dayside_Nadir,2018 APR 09 12:56:49,0,0,0,0,
197,Dayside_Nadir,2018 APR 09 14:45:19,1,1,1860,1860,
198,Dayside_Nadir,2018 APR 09 16:53:49,0,0,0,0,
199,Dayside_Nadir,2018 APR 09 18:52:17,0,0,0,0,
200,Dayside_Nadir,2018 APR 09 20:50:41,0,0,0,0,
201,Dayside_Nadir,2018 APR 09 22:49:09,0,0,0,0,
202,Dayside_Nadir,2018 APR 10 00:47:37,0,0,0,0,
203,Dayside_Nadir,2018 APR 10 02:46:07,0,0,0,0,
204,Dayside_Nadir,2018 APR 10 04:44:37,0,0,0,0,
205,Dayside_Nadir,2018 APR 10 06:33:05,1,1,2626,2626,
206,Dayside_Nadir,2018 APR 10 08:31:31,1,1,116,116,
207,Dayside_Nadir,2018 APR 10 10:39:57,0,0,0,0,
208,Dayside_Nadir,2018 APR 10 12:25:23,1,1,1779,1779,
209,Dayside_Nadir,2018 APR 10 14:20:51,1,1,2364,2364,
